focal.species,plot,subplot,treatment,neighbour.species,neighbour.abundance,notes
Daucus glochidiatus,10,1,C,Ptilotus gaudichaudii,3,
Daucus glochidiatus,10,1,C,Schoenia cassiniana,1,
Daucus glochidiatus,10,1,C,Stenopetalum filifolium,5,
Daucus glochidiatus,10,1,C,Velleia rosea,1,
Daucus glochidiatus,10,1,C,Waitzia acuminata,6,
Daucus glochidiatus,10,2,C,Bulbine semibarbata,1,
Daucus glochidiatus,10,2,C,Calandrinia sp,2,
Daucus glochidiatus,10,2,C,Crassula sp,10,
Daucus glochidiatus,10,2,C,Haloragis odontocarpa,2,
Daucus glochidiatus,10,2,C,Ptilotus gaudichaudii,14,
Daucus glochidiatus,10,3,C,Bulbine semibarbata,8,
Daucus glochidiatus,10,3,C,Crassula sp,25,
Daucus glochidiatus,10,3,C,Haloragis odontocarpa,2,
Daucus glochidiatus,10,3,C,Nicotiana rotundifolia,7,
Daucus glochidiatus,10,3,C,Podolepis canescens,2,
Daucus glochidiatus,10,3,C,Ptilotus gaudichaudii,3,
Daucus glochidiatus,10,3,C,Trachymene ornata,2,
Daucus glochidiatus,11,1,C,Daucus glochidiatus,3,
Daucus glochidiatus,11,1,C,Goodenia berardiana,1,
Daucus glochidiatus,11,1,C,Haloragis odontocarpa,1,
Daucus glochidiatus,11,1,C,Ptilotus gaudichaudii,7,
Daucus glochidiatus,11,1,C,Trachymene cyanopetala,2,
Daucus glochidiatus,11,1,C,Trachymene ornata,2,
Daucus glochidiatus,11,1,C,Waitzia acuminata,2,
Daucus glochidiatus,11,2,C,Daucus glochidiatus,2,
Daucus glochidiatus,11,2,C,Erodium cygnorum,1,
Daucus glochidiatus,11,2,C,Ptilotus gaudichaudii,3,
Daucus glochidiatus,11,2,C,Velleia rosea,3,
Daucus glochidiatus,11,3,C,Calandrinia sp,3,
Daucus glochidiatus,11,3,C,Calotis hispidula,23,
Daucus glochidiatus,11,3,C,Crassula sp,2,
Daucus glochidiatus,11,3,C,Daucus glochidiatus,1,
Daucus glochidiatus,11,3,C,Haloragis odontocarpa,5,
Daucus glochidiatus,11,3,C,Medicago polymorpha,1,
Daucus glochidiatus,11,3,C,Pentameris airoides,5,
Daucus glochidiatus,11,3,C,Ptilotus gaudichaudii,6,
Daucus glochidiatus,11,3,C,Waitzia acuminata,3,
Daucus glochidiatus,12,1,C,Calandrinia sp,10,
Daucus glochidiatus,12,1,C,Cuscuta campestris,0,not on focal
Daucus glochidiatus,12,1,C,Daucus glochidiatus,2,
Daucus glochidiatus,12,1,C,Goodenia berardiana,3,
Daucus glochidiatus,12,1,C,Ptilotus gaudichaudii,2,
Daucus glochidiatus,12,1,C,Schoenus nanus,1,
Daucus glochidiatus,12,1,C,unknown sp4 grass,1,GRASS sp. 2:04  31_8_2018
Daucus glochidiatus,12,1,C,Velleia rosea,7,
Daucus glochidiatus,12,2,C,Calandrinia sp,10,
Daucus glochidiatus,12,2,C,Daucus glochidiatus,1,
Daucus glochidiatus,12,2,C,Ptilotus gaudichaudii,3,
Daucus glochidiatus,12,2,C,unknown sp4 grass,1,GRASS sp. 2:04  31_8_2018
Daucus glochidiatus,12,2,C,Velleia rosea,5,
Daucus glochidiatus,12,2,C,Waitzia acuminata,2,
Daucus glochidiatus,12,3,C,Calandrinia sp,11,
Daucus glochidiatus,12,3,C,Cuscuta campestris,1,on focal
Daucus glochidiatus,12,3,C,Ptilotus gaudichaudii,1,
Daucus glochidiatus,12,3,C,Schoenus nanus,2,
Daucus glochidiatus,12,3,C,Velleia rosea,12,
Daucus glochidiatus,12,3,C,Waitzia acuminata,3,
Daucus glochidiatus,13,1,C,Cheilanthes austrotenuifolia,1,2%
Daucus glochidiatus,13,1,C,Daucus glochidiatus,1,
Daucus glochidiatus,13,1,C,Gilberta tenuifolia,1,
Daucus glochidiatus,13,1,C,Goodenia berardiana,7,
Daucus glochidiatus,13,1,C,Haloragis odontocarpa,1,
Daucus glochidiatus,13,1,C,Schoenus nanus,1,
Daucus glochidiatus,13,2,C,Calandrinia sp,1,
Daucus glochidiatus,13,2,C,Cheilanthes austrotenuifolia,1,10%
Daucus glochidiatus,13,2,C,Gilberta tenuifolia,1,
Daucus glochidiatus,13,2,C,Goodenia berardiana,1,
Daucus glochidiatus,13,2,C,Velleia rosea,3,
Daucus glochidiatus,13,3,C,Calotis hispidula,NA,
Daucus glochidiatus,13,3,C,Daucus glochidiatus,1,
Daucus glochidiatus,13,3,C,Gilberta tenuifolia,3,
Daucus glochidiatus,13,3,C,Pentameris airoides,4,
Daucus glochidiatus,13,3,C,Velleia rosea,1,
Daucus glochidiatus,13,3,C,Waitzia acuminata,1,
Daucus glochidiatus,14,1,C,Daucus glochidiatus,2,
Daucus glochidiatus,14,1,C,Erodium cygnorum,1,
Daucus glochidiatus,14,1,C,Haloragis odontocarpa,2,
Daucus glochidiatus,14,1,C,Medicago polymorpha,3,
Daucus glochidiatus,14,1,C,Nicotiana rotundifolia,NA,
Daucus glochidiatus,14,1,C,Podolepis canescens,7,
Daucus glochidiatus,14,1,C,Ptilotus gaudichaudii,5,
Daucus glochidiatus,14,2,C,Calandrinia sp,3,
Daucus glochidiatus,14,2,C,Crassula sp,1,
Daucus glochidiatus,14,2,C,Daucus glochidiatus,1,
Daucus glochidiatus,14,2,C,Gonocarpus nodulosus,1,
Daucus glochidiatus,14,2,C,Nicotiana rotundifolia,6,
Daucus glochidiatus,14,2,C,Podolepis canescens,3,
Daucus glochidiatus,14,2,C,Ptilotus gaudichaudii,2,
Daucus glochidiatus,14,2,C,unknown sp4 grass,1,GRASS sp. 2:04  31_8_2018
Daucus glochidiatus,14,2,C,Waitzia acuminata,1,
Daucus glochidiatus,14,3,C,Calandrinia sp,1,
Daucus glochidiatus,14,3,C,Calotis hispidula,3,
Daucus glochidiatus,14,3,C,Cheilanthes austrotenuifolia,1,15%
Daucus glochidiatus,14,3,C,Daucus glochidiatus,3,
Daucus glochidiatus,14,3,C,Nicotiana rotundifolia,1,
Daucus glochidiatus,14,3,C,Ptilotus gaudichaudii,4,
Daucus glochidiatus,14,3,C,Trachymene ornata,2,
Daucus glochidiatus,15,1,C,Calandrinia sp,6,
Daucus glochidiatus,15,1,C,Crassula sp,1,
Daucus glochidiatus,15,1,C,Ptilotus gaudichaudii,2,
Daucus glochidiatus,15,1,C,unknown sp3,1,FLAT FERN
Daucus glochidiatus,15,1,C,unknown sp4 grass,1,GRASS sp. 2:04  31_8_2018
Daucus glochidiatus,15,1,C,Velleia rosea,2,
Daucus glochidiatus,15,2,C,Calandrinia sp,7,
Daucus glochidiatus,15,2,C,Daucus glochidiatus,1,
Daucus glochidiatus,15,2,C,Goodenia berardiana,6,
Daucus glochidiatus,15,2,C,Pentameris airoides,1,
Daucus glochidiatus,15,2,C,Schoenus nanus,2,
Daucus glochidiatus,15,2,C,unknown sp15,1,SHINY RED SUCCULENT 10:21am 6_12_18
Daucus glochidiatus,15,2,C,Waitzia acuminata,1,
Daucus glochidiatus,15,3,C,Calandrinia sp,5,
Daucus glochidiatus,15,3,C,Daucus glochidiatus,2,
Daucus glochidiatus,15,3,C,Ptilotus gaudichaudii,3,
Daucus glochidiatus,15,3,C,unknown sp4 grass,1,GRASS sp. 2:04  31_8_2018
Daucus glochidiatus,15,3,C,Waitzia acuminata,1,
Daucus glochidiatus,16,1,C,Calandrinia sp,3,
Daucus glochidiatus,16,1,C,Calotis hispidula,5,
Daucus glochidiatus,16,1,C,Daucus glochidiatus,5,
Daucus glochidiatus,16,1,C,Erodium cygnorum,2,
Daucus glochidiatus,16,1,C,Haloragis odontocarpa,7,
Daucus glochidiatus,16,1,C,Hydrocotyle pilifera,5,
Daucus glochidiatus,16,1,C,Pentameris airoides,4,
Daucus glochidiatus,16,1,C,Podolepis canescens,1,
Daucus glochidiatus,16,1,C,Ptilotus gaudichaudii,10,
Daucus glochidiatus,16,1,C,Trachymene ornata,3,
Daucus glochidiatus,16,2,C,Calandrinia sp,7,
Daucus glochidiatus,16,2,C,Calotis hispidula,1,
Daucus glochidiatus,16,2,C,Haloragis odontocarpa,9,
Daucus glochidiatus,16,2,C,Medicago polymorpha,5,
Daucus glochidiatus,16,2,C,Pentameris airoides,7,
Daucus glochidiatus,16,2,C,Podolepis canescens,1,
Daucus glochidiatus,16,2,C,Ptilotus gaudichaudii,7,
Daucus glochidiatus,16,2,C,Trachymene ornata,1,
Daucus glochidiatus,16,2,C,Waitzia acuminata,1,
Daucus glochidiatus,16,3,C,Goodenia berardiana,3,
Daucus glochidiatus,16,3,C,Ptilotus gaudichaudii,5,
Daucus glochidiatus,16,3,C,Trachymene cyanopetala,1,
Daucus glochidiatus,16,3,C,Trachymene ornata,5,
Gilberta tenuifolia,1,1,C,Gilberta tenuifolia,10,
Gilberta tenuifolia,1,1,C,unknown sp3,1,FLAT FERN
Gilberta tenuifolia,1,1,C,Velleia rosea,8,
Gilberta tenuifolia,1,2,C,Gilberta tenuifolia,9,
Gilberta tenuifolia,1,2,C,Podolepis canescens,1,
Gilberta tenuifolia,1,2,C,Trachymene ornata,1,
Gilberta tenuifolia,1,2,C,unknown sp28,3,UNK. SPP. Curvy leaves 6/09/2018 2:00pm
Gilberta tenuifolia,1,2,C,Velleia rosea,2,
Gilberta tenuifolia,1,3,C,Gilberta tenuifolia,5,
Gilberta tenuifolia,1,3,C,Trachymene cyanopetala,1,
Gilberta tenuifolia,1,3,C,Trachymene ornata,2,
Gilberta tenuifolia,1,3,C,Velleia rosea,6,
Gilberta tenuifolia,1,3,C,Waitzia acuminata,1,
Gilberta tenuifolia,2,1,C,Calotis hispidula,4,
Gilberta tenuifolia,2,1,C,Goodenia pusilliflora,1,
Gilberta tenuifolia,2,1,C,Haloragis odontocarpa,1,
Gilberta tenuifolia,2,1,C,Podolepis canescens,1,
Gilberta tenuifolia,2,1,C,unknown sp3,1,FLAT FERN
Gilberta tenuifolia,2,1,C,Velleia rosea,16,
Gilberta tenuifolia,2,2,C,Ceratogyne obionoides,1,
Gilberta tenuifolia,2,2,C,Gilberta tenuifolia,1,
Gilberta tenuifolia,2,2,C,Goodenia pusilliflora,1,
Gilberta tenuifolia,2,2,C,Haloragis odontocarpa,1,
Gilberta tenuifolia,2,2,C,Velleia rosea,21,
Gilberta tenuifolia,2,2,C,Waitzia acuminata,1,
Gilberta tenuifolia,2,3,C,Calotis hispidula,1,
Gilberta tenuifolia,2,3,C,Cheilanthes austrotenuifolia,1,3%
Gilberta tenuifolia,2,3,C,Goodenia pusilliflora,6,
Gilberta tenuifolia,2,3,C,Ptilotus gaudichaudii,1,
Gilberta tenuifolia,2,3,C,unknown sp4 grass,1,GRASS sp. 2:04  31_8_2018
Gilberta tenuifolia,2,3,C,Velleia rosea,14,
Gilberta tenuifolia,3,1,C,Cheilanthes austrotenuifolia,1,30%
Gilberta tenuifolia,3,1,C,Cuscuta campestris,0,not on focal
Gilberta tenuifolia,3,1,C,Gilberta tenuifolia,1,
Gilberta tenuifolia,3,1,C,Gonocarpus nodulosus,1,
Gilberta tenuifolia,3,1,C,Goodenia berardiana,6,
Gilberta tenuifolia,3,1,C,Podolepis canescens,1,
Gilberta tenuifolia,3,1,C,Trachymene cyanopetala,3,
Gilberta tenuifolia,3,1,C,Velleia rosea,3,
Gilberta tenuifolia,3,1,C,Waitzia acuminata,3,
Gilberta tenuifolia,3,2,C,Cheilanthes austrotenuifolia,1,15%
Gilberta tenuifolia,3,2,C,Cuscuta campestris,0,not on focal
Gilberta tenuifolia,3,2,C,Gilberta tenuifolia,2,
Gilberta tenuifolia,3,2,C,Goodenia berardiana,7,
Gilberta tenuifolia,3,2,C,Podolepis canescens,1,
Gilberta tenuifolia,3,2,C,Trachymene ornata,NA,
Gilberta tenuifolia,3,2,C,Velleia rosea,11,
Gilberta tenuifolia,3,2,C,Waitzia acuminata,4,
Gilberta tenuifolia,3,3,C,Goodenia berardiana,3,
Gilberta tenuifolia,3,3,C,Podolepis canescens,2,
Gilberta tenuifolia,3,3,C,Trachymene ornata,1,
Gilberta tenuifolia,3,3,C,Velleia rosea,4,
Gilberta tenuifolia,3,3,C,Waitzia acuminata,2,
Gilberta tenuifolia,4,1,C,Cheilanthes austrotenuifolia,1,80%
Gilberta tenuifolia,4,1,C,Gilberta tenuifolia,1,
Gilberta tenuifolia,4,1,C,Goodenia berardiana,1,
Gilberta tenuifolia,4,1,C,Lawrencella rosea,1,
Gilberta tenuifolia,4,1,C,Podolepis lessonii,2,
Gilberta tenuifolia,4,1,C,unknown sp3,1,FLAT FERN
Gilberta tenuifolia,4,1,C,Velleia rosea,6,
Gilberta tenuifolia,4,1,C,Waitzia acuminata,1,
Gilberta tenuifolia,4,2,C,Goodenia berardiana,7,
Gilberta tenuifolia,4,2,C,Podolepis lessonii,1,
Gilberta tenuifolia,4,2,C,Trachymene cyanopetala,1,
Gilberta tenuifolia,4,2,C,unknown sp3,1,FLAT FERN
Gilberta tenuifolia,4,2,C,Velleia rosea,37,
Gilberta tenuifolia,4,3,C,Gilberta tenuifolia,1,
Gilberta tenuifolia,4,3,C,Gonocarpus nodulosus,1,
Gilberta tenuifolia,4,3,C,Goodenia berardiana,4,
Gilberta tenuifolia,4,3,C,Hyalosperma glutinosum,1,
Gilberta tenuifolia,4,3,C,Hydrocotyle pilifera,1,
Gilberta tenuifolia,4,3,C,Podolepis lessonii,1,
Gilberta tenuifolia,4,3,C,Schoenus nanus,6,
Gilberta tenuifolia,4,3,C,Velleia rosea,8,
Gilberta tenuifolia,5,1,C,Ceratogyne obionoides,1,
Gilberta tenuifolia,5,1,C,Cheilanthes austrotenuifolia,1,3%
Gilberta tenuifolia,5,1,C,Crassula sp,14,
Gilberta tenuifolia,5,1,C,Cuscuta campestris,1,on focal
Gilberta tenuifolia,5,1,C,Dichopogon sp.,1,
Gilberta tenuifolia,5,1,C,Gilberta tenuifolia,4,
Gilberta tenuifolia,5,1,C,Gonocarpus nodulosus,1,
Gilberta tenuifolia,5,1,C,Pentameris airoides,5,
Gilberta tenuifolia,5,1,C,Plantago debilis,3,
Gilberta tenuifolia,5,1,C,Trachymene cyanopetala,1,
Gilberta tenuifolia,5,1,C,Trachymene ornata,1,
Gilberta tenuifolia,5,1,C,unknown sp30,2,UNK. SPP. SMALL WHITE TUBES 7_9_2018 2:54pm
Gilberta tenuifolia,5,1,C,Velleia rosea,6,
Gilberta tenuifolia,5,2,C,Ceratogyne obionoides,1,
Gilberta tenuifolia,5,2,C,Cheilanthes austrotenuifolia,1,30%
Gilberta tenuifolia,5,2,C,Crassula sp,10,
Gilberta tenuifolia,5,2,C,Cuscuta campestris,1,on focal
Gilberta tenuifolia,5,2,C,Gilberta tenuifolia,19,
Gilberta tenuifolia,5,2,C,Plantago debilis,1,
Gilberta tenuifolia,5,2,C,Schoenus nanus,1,
Gilberta tenuifolia,5,2,C,unknown sp8,3,LONG SKINNY VERTICAL BUD  11:30 am 3/9/18
Gilberta tenuifolia,5,2,C,Velleia rosea,2,
Gilberta tenuifolia,5,2,C,Waitzia acuminata,1,
Gilberta tenuifolia,5,3,C,Ceratogyne obionoides,1,
Gilberta tenuifolia,5,3,C,Cheilanthes austrotenuifolia,1,8%
Gilberta tenuifolia,5,3,C,Crassula sp,5,
Gilberta tenuifolia,5,3,C,Cuscuta campestris,1,on focal
Gilberta tenuifolia,5,3,C,Gilberta tenuifolia,19,
Gilberta tenuifolia,5,3,C,Goodenia berardiana,1,
Gilberta tenuifolia,5,3,C,Velleia rosea,6,
Gilberta tenuifolia,6,1,C,Calandrinia sp,1,
Gilberta tenuifolia,6,1,C,Crassula sp,8,
Gilberta tenuifolia,6,1,C,Gilberta tenuifolia,2,
Gilberta tenuifolia,6,1,C,Gonocarpus nodulosus,1,
Gilberta tenuifolia,6,1,C,Goodenia berardiana,1,
Gilberta tenuifolia,6,1,C,Haloragis odontocarpa,2,
Gilberta tenuifolia,6,1,C,Pentameris airoides,2,
Gilberta tenuifolia,6,1,C,Podolepis lessonii,3,
Gilberta tenuifolia,6,1,C,Pogonolepis muelleriana,6,
Gilberta tenuifolia,6,1,C,Trachymene ornata,1,
Gilberta tenuifolia,6,1,C,Velleia rosea,13,
Gilberta tenuifolia,6,1,C,Waitzia acuminata,1,
Gilberta tenuifolia,6,2,C,Crassula sp,8,
Gilberta tenuifolia,6,2,C,Pogonolepis muelleriana,3,
Gilberta tenuifolia,6,2,C,Trachymene cyanopetala,1,
Gilberta tenuifolia,6,2,C,Velleia rosea,31,
Gilberta tenuifolia,6,3,C,Gilberta tenuifolia,3,
Gilberta tenuifolia,6,3,C,Podolepis lessonii,4,
Gilberta tenuifolia,6,3,C,Ptilotus gaudichaudii,1,
Gilberta tenuifolia,6,3,C,Velleia rosea,28,
Gilberta tenuifolia,7,1,C,Gilberta tenuifolia,4,
Gilberta tenuifolia,7,1,C,Gilberta tenuifolia,7,
Gilberta tenuifolia,7,1,C,Haloragis odontocarpa,1,
Gilberta tenuifolia,7,1,C,Trachymene cyanopetala,1,
Gilberta tenuifolia,7,1,C,Velleia rosea,21,
Gilberta tenuifolia,7,1,C,Velleia rosea,23,
Gilberta tenuifolia,7,1,C,Waitzia acuminata,1,
Gilberta tenuifolia,7,3,C,Calotis hispidula,1,
Gilberta tenuifolia,7,3,C,Cuscuta campestris,1,on focal
Gilberta tenuifolia,7,3,C,Gilberta tenuifolia,2,
Gilberta tenuifolia,7,3,C,Velleia rosea,9,
Gilberta tenuifolia,7,3,C,Waitzia acuminata,1,
Gilberta tenuifolia,8,1,C,Ceratogyne obionoides,5,
Gilberta tenuifolia,8,1,C,Cuscuta campestris,0,not on focal
Gilberta tenuifolia,8,1,C,Gilberta tenuifolia,10,
Gilberta tenuifolia,8,1,C,Plantago debilis,1,
Gilberta tenuifolia,8,1,C,Podolepis canescens,2,
Gilberta tenuifolia,8,1,C,Trachymene cyanopetala,4,
Gilberta tenuifolia,8,1,C,Velleia rosea,19,
Gilberta tenuifolia,8,1,C,Waitzia acuminata,11,
Gilberta tenuifolia,8,2,C,Calandrinia sp,2,
Gilberta tenuifolia,8,2,C,Cheilanthes austrotenuifolia,1,1%
Gilberta tenuifolia,8,2,C,Gilberta tenuifolia,7,
Gilberta tenuifolia,8,2,C,Hypochaeris glabra,1,
Gilberta tenuifolia,8,2,C,Pentameris airoides,2,
Gilberta tenuifolia,8,2,C,Podolepis canescens,1,
Gilberta tenuifolia,8,2,C,Trachymene cyanopetala,6,
Gilberta tenuifolia,8,2,C,Velleia rosea,12,
Gilberta tenuifolia,8,2,C,Waitzia acuminata,5,
Gilberta tenuifolia,8,3,C,Cuscuta campestris,1,on focal
Gilberta tenuifolia,8,3,C,Gilberta tenuifolia,9,
Gilberta tenuifolia,8,3,C,Trachymene cyanopetala,2,
Gilberta tenuifolia,8,3,C,Velleia rosea,10,
Gilberta tenuifolia,9,1,C,Brachyscome iberidifolia,7,
Gilberta tenuifolia,9,1,C,Cheilanthes austrotenuifolia,1,3%
Gilberta tenuifolia,9,1,C,Crassula sp,3,
Gilberta tenuifolia,9,1,C,Gilberta tenuifolia,2,
Gilberta tenuifolia,9,1,C,Pentameris airoides,4,
Gilberta tenuifolia,9,1,C,Rhodanthe laevis,1,
Gilberta tenuifolia,9,2,C,Brachyscome iberidifolia,3,
Gilberta tenuifolia,9,2,C,Crassula sp,7,
Gilberta tenuifolia,9,2,C,Erodium cygnorum,2,
Gilberta tenuifolia,9,2,C,Gilberta tenuifolia,2,
Gilberta tenuifolia,9,2,C,Pentameris airoides,3,
Gilberta tenuifolia,9,2,C,Pogonolepis muelleriana,2,
Gilberta tenuifolia,9,2,C,Velleia rosea,3,
Gilberta tenuifolia,9,3,C,Brachyscome iberidifolia,1,
Gilberta tenuifolia,9,3,C,Crassula sp,5,
Gilberta tenuifolia,9,3,C,Gilberta tenuifolia,2,
Gilberta tenuifolia,9,3,C,Pentameris airoides,2,
Gilberta tenuifolia,9,3,C,Pogonolepis muelleriana,1,
Gilberta tenuifolia,9,3,C,Schoenus nanus,1,
Gilberta tenuifolia,9,3,C,Velleia rosea,4,
Gilberta tenuifolia,10,1,C,Brachyscome iberidifolia,2,
Gilberta tenuifolia,10,1,C,Gilberta tenuifolia,3,
Gilberta tenuifolia,10,1,C,Pentameris airoides,2,
Gilberta tenuifolia,10,1,C,Schoenus nanus,1,
Gilberta tenuifolia,10,1,C,unknown sp29,6,UNK. SPP. Looks like lessonii 8:31am 8_9_2018
Gilberta tenuifolia,10,1,C,unknown sp4 grass,1,GRASS sp. 2:04  31_8_2018
Gilberta tenuifolia,10,1,C,Velleia rosea,5,
Gilberta tenuifolia,10,2,C,Gilberta tenuifolia,3,
Gilberta tenuifolia,10,2,C,Hypochaeris glabra,1,
Gilberta tenuifolia,10,2,C,Schoenia cassiniana,1,
Gilberta tenuifolia,10,2,C,unknown sp4 grass,1,GRASS sp. 2:04  31_8_2018
Gilberta tenuifolia,10,2,C,Waitzia acuminata,3,
Gilberta tenuifolia,10,3,C,Gilberta tenuifolia,1,
Gilberta tenuifolia,10,3,C,Nicotiana rotundifolia,1,
Gilberta tenuifolia,10,3,C,Waitzia acuminata,1,
Gilberta tenuifolia,11,1,C,Velleia rosea,14,
Gilberta tenuifolia,11,1,C,Waitzia acuminata,2,
Gilberta tenuifolia,11,2,C,Gilberta tenuifolia,2,
Gilberta tenuifolia,11,2,C,Velleia rosea,10,
Gilberta tenuifolia,11,3,C,Ophioglossum lusitanicum,1,
Gilberta tenuifolia,11,3,C,Velleia rosea,22,
Gilberta tenuifolia,12,1,C,Calandrinia sp,1,
Gilberta tenuifolia,12,1,C,Cuscuta campestris,1,on focal
Gilberta tenuifolia,12,1,C,Gilberta tenuifolia,1,
Gilberta tenuifolia,12,1,C,Haloragis odontocarpa,3,
Gilberta tenuifolia,12,1,C,Nicotiana rotundifolia,1,
Gilberta tenuifolia,12,1,C,Pentameris airoides,8,
Gilberta tenuifolia,12,1,C,Podolepis canescens,2,
Gilberta tenuifolia,12,1,C,Trachymene ornata,1,
Gilberta tenuifolia,12,1,C,unknown sp8,2,LONG SKINNY VERTICAL BUD  11:30 am 3/9/18
Gilberta tenuifolia,12,1,C,Velleia rosea,7,
Gilberta tenuifolia,12,2,C,Calandrinia sp,5,
Gilberta tenuifolia,12,2,C,Cuscuta campestris,1,on focal
Gilberta tenuifolia,12,2,C,Gilberta tenuifolia,1,
Gilberta tenuifolia,12,2,C,Haloragis odontocarpa,3,
Gilberta tenuifolia,12,2,C,Pentameris airoides,10,
Gilberta tenuifolia,12,2,C,Podolepis canescens,2,
Gilberta tenuifolia,12,2,C,unknown sp3,1,FLAT FERN
Gilberta tenuifolia,12,2,C,unknown sp8,1,LONG SKINNY VERTICAL BUD  11:30 am 3/9/18
Gilberta tenuifolia,12,2,C,Velleia rosea,21,
Gilberta tenuifolia,12,3,C,Chthonocephalus pseudevax,1,
Gilberta tenuifolia,12,3,C,Crassula sp,1,
Gilberta tenuifolia,12,3,C,Gilberta tenuifolia,1,
Gilberta tenuifolia,12,3,C,Goodenia berardiana,1,
Gilberta tenuifolia,12,3,C,Haloragis odontocarpa,2,
Gilberta tenuifolia,12,3,C,Hyalosperma glutinosum,4,
Gilberta tenuifolia,12,3,C,Pentameris airoides,5,
Gilberta tenuifolia,12,3,C,unknown sp3,1,FLAT FERN
Gilberta tenuifolia,12,3,C,Velleia rosea,19,
Gilberta tenuifolia,13,1,C,Ceratogyne obionoides,1,
Gilberta tenuifolia,13,1,C,Gilberta tenuifolia,3,
Gilberta tenuifolia,13,1,C,Gonocarpus nodulosus,1,
Gilberta tenuifolia,13,1,C,Hydrocotyle pilifera,1,
Gilberta tenuifolia,13,1,C,Hypochaeris glabra,1,
Gilberta tenuifolia,13,1,C,Nicotiana rotundifolia,1,
Gilberta tenuifolia,13,1,C,Pentameris airoides,40,
Gilberta tenuifolia,13,1,C,Trachymene ornata,3,
Gilberta tenuifolia,13,1,C,unknown sp8,11,LONG SKINNY VERTICAL BUD  11:30 am 3/9/18
Gilberta tenuifolia,13,1,C,Velleia rosea,5,
Gilberta tenuifolia,13,1,C,Waitzia acuminata,1,
Gilberta tenuifolia,13,2,C,Gilberta tenuifolia,3,
Gilberta tenuifolia,13,2,C,Nicotiana rotundifolia,1,
Gilberta tenuifolia,13,2,C,Pentameris airoides,35,
Gilberta tenuifolia,13,2,C,Podolepis canescens,1,
Gilberta tenuifolia,13,2,C,Trachymene ornata,1,
Gilberta tenuifolia,13,2,C,unknown sp8,NA,LONG SKINNY VERTICAL BUD  11:30 am 3/9/18
Gilberta tenuifolia,13,2,C,Velleia rosea,6,
Gilberta tenuifolia,13,2,C,Waitzia acuminata,3,
Gilberta tenuifolia,13,3,C,Calandrinia sp,1,
Gilberta tenuifolia,13,3,C,Ceratogyne obionoides,1,
Gilberta tenuifolia,13,3,C,Crassula sp,1,
Gilberta tenuifolia,13,3,C,Cuscuta campestris,0,not on focal
Gilberta tenuifolia,13,3,C,Gilberta tenuifolia,11,
Gilberta tenuifolia,13,3,C,Gonocarpus nodulosus,2,
Gilberta tenuifolia,13,3,C,Hypochaeris glabra,1,
Gilberta tenuifolia,13,3,C,Pentameris airoides,35,
Gilberta tenuifolia,13,3,C,Trachymene ornata,1,
Gilberta tenuifolia,13,3,C,unknown sp8,9,LONG SKINNY VERTICAL BUD  11:30 am 3/9/18
Gilberta tenuifolia,13,3,C,Waitzia acuminata,3,
Gilberta tenuifolia,14,1,C,Gilberta tenuifolia,3,
Gilberta tenuifolia,14,1,C,unknown sp9,5,MONOCOT 8:58 am 8_9_2018
Gilberta tenuifolia,14,1,C,Waitzia acuminata,2,
Gilberta tenuifolia,14,2,C,Crassula sp,2,
Gilberta tenuifolia,14,2,C,Gilberta tenuifolia,3,
Gilberta tenuifolia,14,2,C,Trachymene ornata,1,
Gilberta tenuifolia,14,3,C,Crassula sp,2,
Gilberta tenuifolia,14,3,C,Drosera sp,2,
Gilberta tenuifolia,14,3,C,Gilberta tenuifolia,5,
Gilberta tenuifolia,14,3,C,Schoenia cassiniana,1,
Gilberta tenuifolia,14,3,C,unknown sp8,1,LONG SKINNY VERTICAL BUD  11:30 am 3/9/18
Gilberta tenuifolia,14,3,C,Velleia rosea,4,
Gilberta tenuifolia,14,3,C,Waitzia acuminata,1,
Gilberta tenuifolia,15,1,C,Crassula sp,18,
Gilberta tenuifolia,15,1,C,Erodium cygnorum,1,
Gilberta tenuifolia,15,1,C,Gilberta tenuifolia,1,
Gilberta tenuifolia,15,1,C,Goodenia pusilliflora,1,
Gilberta tenuifolia,15,1,C,Podolepis canescens,1,
Gilberta tenuifolia,15,1,C,Waitzia acuminata,6,
Gilberta tenuifolia,15,2,C,Erodium cygnorum,5,
Gilberta tenuifolia,15,2,C,Gilberta tenuifolia,1,
Gilberta tenuifolia,15,2,C,Waitzia acuminata,2,
Gilberta tenuifolia,15,3,C,Crassula sp,19,
Gilberta tenuifolia,15,3,C,Erodium cygnorum,3,
Gilberta tenuifolia,15,3,C,Gilberta tenuifolia,3,
Gilberta tenuifolia,15,3,C,Pentameris airoides,4,
Gilberta tenuifolia,15,3,C,Trachymene cyanopetala,1,
Gilberta tenuifolia,15,3,C,unknown sp30,1,UNK. SPP. SMALL WHITE TUBES 7_9_2018 2:54pm
Gilberta tenuifolia,15,3,C,unknown sp8,1,LONG SKINNY VERTICAL BUD  11:30 am 3/9/18
Gilberta tenuifolia,15,3,C,Waitzia acuminata,3,
Gilberta tenuifolia,16,1,C,Crassula sp,1,
Gilberta tenuifolia,16,1,C,Gilberta tenuifolia,4,
Gilberta tenuifolia,16,1,C,Waitzia acuminata,6,
Gilberta tenuifolia,16,2,C,Arctotheca calendula,3,
Gilberta tenuifolia,16,2,C,Bulbine semibarbata,1,
